constellation,star
Estrela Vagalume (Uam-rana),α CMa,
Estrela Tinguaçu (Tinguaçu),41 Ari,
Pata da Ema (Nhandu pysá),α Cru β Cru γ Cru δ Cru,
Ovos de Pássaro (Guirá rupiá),δ Mus γ Mus,
Colibri (Mainamy),γ Crv α Crv β Crv δ Crv ε Crv,
Canoa (Yar Ragapaw),η UMa ζ UMa ε UMa δ UMa γ UMa,
Jabuti (Zauxihu Ragapaw),α CrB β CrB γ CrB δ CrB ε CrB ι CrB θ CrB,
Ema (Guirá Nhandú),α Cen β Cen α Mus β Cir β TrA ε¹ Ara α Ara θ Sco γ Sco α Sco δ Sco ζ Lup γ Lup,
Onça Celeste (Xivi / Charia),α Sco,
Cobra de Fogo (Mboi Tatá),α Sco τ Sco ε Sco μ Sco ζ² Sco η Sco ι¹ Sco θ Sco λ Sco κ Sco,
Seriema (Azim),λ Sco ν Sco κ Sco ε Sgr η Sgr λ CrA ε CrA ν686 CrA α CrA β CrA δ CrA ζ CrA,
Cervo (Guaśú / Suçu-Guasu),β Car 117 Vel Ψ Vel λ Vel γ Vel δ Vel κ Vel φ Vel ι Car q Car π Cen γ Cru β Cru α Cru γ Mus δ Mus,
Anta do Norte (Tapí’i),α Cyg T Cyg 72 Cyg V Cyg π² Cyg α Cep ι Cep β Cas 32 Cas δ Cas η Cas ξ Cas λ And 2 Lac
Poço do Caititu (Coxi Huguá),SMC,
Arapuca (Aka’ekorá / Seichu Jurá),β Peg α Peg γ Peg α And δ And α Tri 41 Ari M-45,
Plêiades (Seichú),16 Tau 17 Tau 19 Tau 20 Tau 21 Tau 23 Tau 25 Tau,
Queixada da Anta (Tapí’i Rainhykä),α Tau δ¹ Tau δ³ Tau ε Tau γ Tau θ² Tau,
Onça Celeste (Xivi / Charia),α Tau,
Homem Velho (Tuiváe),α Ori γ Ori β Ori δ Ori ε Ori ζ Ori κ Ori π³ Ori π⁵ Ori 15 Ori β Eri α Tau M45,
Poço do Tapir (Tapí’i Huguá),LMC,
Encantado da Fertilidade (Joykexo),δ Ori ε Ori ζ Ori,
