constellation,stars,date,azMin,azMax
Estrela Vagalume (Uam-rana),['α CMa'],2026-01-01,96.98731994441934,263.01036373155046
Estrela Tinguaçu (Tinguaçu),['41 Ari'],2026-01-03,298.64258914118864,420.862226260669
Cobra de Fogo (Mboi Tatá),"['α Sco', 'τ Sco', 'ε Sco', 'μ Sco', 'ζ² Sco', 'η Sco', 'ι¹ Sco', 'θ Sco', 'λ Sco', 'κ Sco']",2026-06-04,111.91861178413338,248.08221090058962
Cervo (Guaśú / Suçu-Guasu),"['β Car', '117 Vel', 'Ψ Vel', 'λ Vel', 'γ Vel', 'δ Vel', 'κ Vel', 'φ Vel', 'ι Car', 'q Car', 'π Cen', 'γ Cru', 'β Cru', 'α Cru', 'γ Mus', 'δ Mus']",2026-07-04,127.97781513728798,232.02218516729783
Poço do Caititu (Coxi Huguá),['SMC'],2026-10-04,162.02863048845526,197.9689489231929
Canoa (Yar Ragapaw),"['η UMa', 'ζ UMa', 'ε UMa', 'δ UMa', 'γ UMa']",2026-04-05,321.90119972656305,397.81416754002896
Homem Velho (Tuiváe),"['α Ori', 'γ Ori', 'β Ori', 'δ Ori', 'ε Ori', 'ζ Ori', 'κ Ori', 'π³ Ori', 'π⁵ Ori', '15 Ori', 'β Eri', 'α Tau', 'M45']",2026-12-06,260.08513106109075,459.58625961363026
Poço do Tapir (Tapí’i Huguá),['LMC'],2026-12-12,158.95516236802646,201.04517968855083
Encantado da Fertilidade (Joykexo),"['δ Ori', 'ε Ori', 'ζ Ori']",2026-12-15,268.0726148243222,451.99533165442085
Jabuti (Zauxihu Ragapaw),"['α CrB', 'β CrB', 'γ CrB', 'δ CrB', 'ε CrB', 'ι CrB', 'θ CrB']",2026-05-18,297.3857889677634,422.5055653080029
Plêiades (Seichú),"['16 Tau', '17 Tau', '19 Tau', '20 Tau', '21 Tau', '23 Tau', '25 Tau']",2026-11-18,295.2148587124729,424.48848173874416
Arapuca (Aka’ekorá / Seichu Jurá),"['β Peg', 'α Peg', 'γ Peg', 'α And', 'δ And', 'α Tri', '41 Ari', 'M-45']",2026-10-20,286.33548030033944,433.76852599137493
Pata da Ema (Nhandu pysá),"['α Cru', 'β Cru', 'γ Cru', 'δ Cru']",2026-03-28,145.9098687041045,214.0937205772143
Ema (Guirá Nhandú),"['α Cen', 'β Cen', 'α Mus', 'β Cir', 'β TrA', 'ε¹ Ara', 'α Ara', 'θ Sco', 'γ Sco', 'α Sco', 'δ Sco', 'ζ Lup', 'γ Lup']",2026-05-28,106.82513888780812,253.17174357623614
Seriema (Azim),"['λ Sco', 'ν Sco', 'κ Sco', 'ε Sgr', 'η Sgr', 'λ CrA', 'ε CrA', 'ν686 CrA', 'α CrA', 'β CrA', 'δ CrA', 'ζ CrA']",2026-06-28,102.33756978524539,257.66507350457397
Queixada da Anta (Tapí’i Rainhykä),"['α Tau', 'δ¹ Tau', 'δ³ Tau', 'ε Tau', 'γ Tau', 'θ² Tau']",2026-11-28,286.81901346671214,433.4363903788167
Onça Celeste (Xivi / Charia),['α Sco'],2026-05-30,111.91921903973271,248.08263189772023
Onça Celeste (Xivi / Charia),['α Tau'],2026-11-30,287.53028618753547,432.47731595240737
Colibri (Mainamy),"['γ Crv', 'α Crv', 'β Crv', 'δ Crv', 'ε Crv']",2026-03-31,96.7718437828244,263.2319276298273
Ovos de Pássaro (Guirá rupiá),"['δ Mus', 'γ Mus']",2026-03-31,160.99992134776738,199.00302399296055
Anta do Norte (Tapí’i),"['α Cyg', 'T Cyg', '72 Cyg', 'V Cyg', 'π² Cyg', 'α Cep', 'ι Cep', 'β Cas', '32 Cas', 'δ Cas', 'η Cas', 'ξ Cas', 'λ And', '2 Lac']",2026-08-31,306.0167195116894,414.071318275304
